season,team,ol_score_0_100
2019,ARI,64.23904458951297
2019,ATL,30.30028468903668
2019,BAL,77.38559330371687
2019,BUF,45.78730009655349
2019,CAR,37.73836412897778
2019,CHI,56.400732937455324
2019,CIN,60.03353430464503
2019,CLE,73.66338279760123
2019,DAL,81.34323731386634
2019,DEN,45.134009377500256
2019,DET,52.13605662978835
2019,GB,68.54642241524226
2019,HOU,30.195200074974668
2019,IND,48.93238057772199
2019,JAX,69.86618015785729
2019,KC,92.05999314131672
2019,LA,94.4515893729809
2019,LAC,62.42554393370351
2019,LV,93.94738829633428
2019,MIA,4.7020382492225865
2019,MIN,55.768787526445514
2019,NE,77.80365614333418
2019,NO,100.0
2019,NYG,35.871825420836515
2019,NYJ,12.475697308226524
2019,PHI,50.951747995003814
2019,PIT,65.29693657009757
2019,SEA,13.886125674053057
2019,SF,53.70071174224007
2019,TB,47.75998559143038
2019,TEN,0.0
2019,WAS,11.561140651675219
2020,ARI,92.16301317846468
2020,ATL,39.12897224643495
2020,BAL,45.41485960687186
2020,BUF,75.31476324861592
2020,CAR,61.2911892563671
2020,CHI,50.3410179520465
2020,CIN,17.9731473389441
2020,CLE,87.52715552087233
2020,DAL,50.2641993766682
2020,DEN,43.86794298893874
2020,DET,47.89763630333645
2020,GB,94.19479281683869
2020,HOU,35.67540264119065
2020,IND,93.05060382068773
2020,JAX,57.19362957115651
2020,KC,78.34793442407026
2020,LA,61.27675422718706
2020,LAC,51.7202483036629
2020,LV,85.29699183574857
2020,MIA,63.22983169173582
2020,MIN,14.574716025780559
2020,NE,34.197830375331165
2020,NO,64.25072146205453
2020,NYG,7.679802573080986
2020,NYJ,22.937564530280422
2020,PHI,0.0
2020,PIT,100.0
2020,SEA,19.53099824494488
2020,SF,17.355696227972796
2020,TB,79.73525345990005
2020,TEN,49.25733696149072
2020,WAS,30.061301155862754
2021,ARI,75.42063876863003
2021,ATL,7.2189609215993285
2021,BAL,34.82132323998415
2021,BUF,78.20303617934911
2021,CAR,20.208353282952583
2021,CHI,6.200044669335091
2021,CIN,0.0
2021,CLE,33.7478672492107
2021,DAL,65.44149946918769
2021,DEN,31.49667231539106
2021,DET,44.15561572273547
2021,GB,55.6818131120376
2021,HOU,35.025237820018006
2021,IND,27.03279333170242
2021,JAX,65.08695569526175
2021,KC,76.6768584784679
2021,LA,66.64324856669532
2021,LAC,67.97590517935629
2021,LV,58.36675144172499
2021,MIA,57.89229681259598
2021,MIN,50.050898552240625
2021,NE,58.044274316898544
2021,NO,33.84148562419881
2021,NYG,39.26167339353752
2021,NYJ,23.646612389628736
2021,PHI,61.17532290040755
2021,PIT,73.09560062612645
2021,SEA,10.036310592505718
2021,SF,45.0814791971763
2021,TB,100.00000000000001
2021,TEN,4.690933363079248
2021,WAS,30.83894106907573
2022,ARI,67.20119263003707
2022,ATL,33.739498634893685
2022,BAL,69.8561774438004
2022,BUF,68.64674878225469
2022,CAR,62.55405956055449
2022,CHI,0.8228266342912349
2022,CIN,59.3950714849563
2022,CLE,40.47537002011309
2022,DAL,73.06963498890809
2022,DEN,2.7575415202007254
2022,DET,81.4434672930176
2022,GB,77.30330021266313
