schedule_season,schedule_week,team,elo_pre,elo_post
2019,1,ARIZONA CARDINALS,1500.0,1500.0
2019,1,ATLANTA FALCONS,1500.0,1499.9976987158307
2019,1,BALTIMORE RAVENS,1500.0,1500.0031584226826
2019,1,BUFFALO BILLS,1500.0,1500.0010946258888
2019,1,CAROLINA PANTHERS,1500.0,1499.9978107482225
2019,1,CHICAGO BEARS,1500.0,1499.996877854896
2019,1,CINCINNATI BENGALS,1500.0,1499.9992024356832
2019,1,CLEVELAND BROWNS,1500.0,1499.9968415773174
2019,1,DALLAS COWBOYS,1500.0,1500.0023012841693
2019,1,DENVER BRONCOS,1500.0,1499.9976898369202
2019,1,DETROIT LIONS,1500.0,1500.0
2019,1,GREEN BAY PACKERS,1500.0,1500.003122145104
2019,1,HOUSTON TEXANS,1500.0,1499.9987310132258
2019,1,INDIANAPOLIS COLTS,1500.0,1499.9977609538894
2019,1,JACKSONVILLE JAGUARS,1500.0,1499.9968415773174
2019,1,KANSAS CITY CHIEFS,1500.0,1500.0031584226826
2019,1,LOS ANGELES CHARGERS,1500.0,1500.0022390461106
2019,1,LOS ANGELES RAMS,1500.0,1500.0021892517775
2019,1,MIAMI DOLPHINS,1500.0,1499.9968415773174
2019,1,MINNESOTA VIKINGS,1500.0,1500.0023012841693
2019,1,NEW ENGLAND PATRIOTS,1500.0,1500.0023012841693
2019,1,NEW ORLEANS SAINTS,1500.0,1500.0012689867742
2019,1,NEW YORK GIANTS,1500.0,1499.9976987158307
2019,1,NEW YORK JETS,1500.0,1499.9989053741112
2019,1,OAKLAND RAIDERS,1500.0,1500.0023101630798
2019,1,PITTSBURGH STEELERS,1500.0,1499.9976987158307
2019,1,SAN FRANCISCO 49ERS,1500.0,1500.0031584226826
2019,1,SEATTLE SEAHAWKS,1500.0,1500.0007975643168
2019,1,TAMPA BAY BUCCANEERS,1500.0,1499.9968415773174
2019,1,TENNESSEE TITANS,1500.0,1500.0031584226826
2019,10,ARIZONA CARDINALS,1499.9924417598245,1499.9904086646595
2019,10,ATLANTA FALCONS,1499.9834904420484,1499.9875163626143
2019,10,BALTIMORE RAVENS,1500.0114268248449,1500.0154521140785
2019,10,BUFFALO BILLS,1500.0053705705157,1500.0033373592591
2019,10,CAROLINA PANTHERS,1500.0071182419028,1500.0041851671215
2019,10,CHICAGO BEARS,1499.991157927907,1499.9940911033423
2019,10,CINCINNATI BENGALS,1499.9794887633825,1499.975463474149
2019,10,CLEVELAND BROWNS,1499.9893717730101,1499.9914049842666
2019,10,DALLAS COWBOYS,1500.005033584654,1500.001794134764
2019,10,DETROIT LIONS,1499.9961991586645,1499.993265983229
2019,10,GREEN BAY PACKERS,1500.0123819221328,1500.0153149969142
2019,10,INDIANAPOLIS COLTS,1500.0038888377226,1500.0006491848183
2019,10,KANSAS CITY CHIEFS,1500.0061324415597,1500.004099287021
2019,10,LOS ANGELES CHARGERS,1499.995861245857,1499.994268594958
2019,10,LOS ANGELES RAMS,1500.0069793336538,1500.004351555823
2019,10,MIAMI DOLPHINS,1499.985104080514,1499.9883437334183
2019,10,MINNESOTA VIKINGS,1500.0080019256054,1500.0112413754955
2019,10,NEW ORLEANS SAINTS,1500.0161878380616,1500.0121619174956
2019,10,NEW YORK GIANTS,1499.979452806796,1499.976519712724
2019,10,NEW YORK JETS,1499.9827415090167,1499.9856746030887
2019,10,OAKLAND RAIDERS,1500.0003923790534,1500.0019850299525
2019,10,PITTSBURGH STEELERS,1500.0020005781287,1500.0046283559595
2019,10,SAN FRANCISCO 49ERS,1500.0200085386416,1500.0172073533458
2019,10,SEATTLE SEAHAWKS,1500.0094265779294,1500.0122277632252
2019,10,TAMPA BAY BUCCANEERS,1499.9915303519683,1499.9935634471333
2019,10,TENNESSEE TITANS,1499.997504727195,1499.9995378817337
2019,11,ARIZONA CARDINALS,1499.9904086646595,1499.9873956675722
2019,11,ATLANTA FALCONS,1499.9875163626143,1499.9916521198181
2019,11,BALTIMORE RAVENS,1500.0154521140785,1500.018465308678
2019,11,BUFFALO BILLS,1500.0033373592591,1500.0074727987478
2019,11,CAROLINA PANTHERS,1500.0041851671215,1500.0000494099177
2019,11,CHICAGO BEARS,1499.9940911033423,1499.9910779403053
2019,11,CINCINNATI BENGALS,1499.975463474149,1499.9724504742808
2019,11,CLEVELAND BROWNS,1499.9914049842666,1499.9943837711155
2019,11,DALLAS COWBOYS,1500.001794134764,1500.005929639131
2019,11,DENVER BRONCOS,1499.9951103067772,1499.9926856225459
2019,11,DETROIT LIONS,1499.993265983229,1499.989130478862
2019,11,HOUSTON TEXANS,1500.0083371208846,1500.005323926285
2019,11,INDIANAPOLIS COLTS,1500.0006491848183,1500.0036624165227
