home_team,away_team,spread_home,total_points,market_home_ml,market_away_ml,bookmaker
DENVER BRONCOS,LAS VEGAS RAIDERS,-9.5,42.5,-520,390,draftkings
INDIANAPOLIS COLTS,ATLANTA FALCONS,-6.5,48.5,-340,270,draftkings
MINNESOTA VIKINGS,BALTIMORE RAVENS,4.5,48.5,185,-225,draftkings
MIAMI DOLPHINS,BUFFALO BILLS,9.5,50.5,360,-470,draftkings
CAROLINA PANTHERS,NEW ORLEANS SAINTS,-5.5,39.5,-245,200,draftkings
CHICAGO BEARS,NEW YORK GIANTS,-4.5,46.5,-218,180,draftkings
NEW YORK JETS,CLEVELAND BROWNS,1.5,37.5,110,-130,draftkings
HOUSTON TEXANS,JACKSONVILLE JAGUARS,1.5,37.5,102,-122,draftkings
TAMPA BAY BUCCANEERS,NEW ENGLAND PATRIOTS,-2.5,48.5,-148,124,draftkings
SEATTLE SEAHAWKS,ARIZONA CARDINALS,-6.5,45.5,-305,245,draftkings
WASHINGTON COMMANDERS,DETROIT LIONS,7.5,49.5,360,-470,draftkings
SAN FRANCISCO 49ERS,LOS ANGELES RAMS,4.5,49.5,185,-225,draftkings
LOS ANGELES CHARGERS,PITTSBURGH STEELERS,-3.0,45.5,-162,136,draftkings
GREEN BAY PACKERS,PHILADELPHIA EAGLES,-2.5,45.5,-135,114,draftkings
NEW ENGLAND PATRIOTS,NEW YORK JETS,-10.5,46.5,-520,390,draftkings
MIAMI DOLPHINS,WASHINGTON COMMANDERS,1.5,46.5,105,-125,draftkings
ATLANTA FALCONS,CAROLINA PANTHERS,-3.5,44.5,-180,150,draftkings
BUFFALO BILLS,TAMPA BAY BUCCANEERS,-6.0,50.5,-258,210,draftkings
MINNESOTA VIKINGS,CHICAGO BEARS,-3.0,46.5,-162,136,draftkings
PITTSBURGH STEELERS,CINCINNATI BENGALS,-6.0,50.5,-258,210,draftkings
NEW YORK GIANTS,GREEN BAY PACKERS,7.0,46.5,260,-325,draftkings
TENNESSEE TITANS,HOUSTON TEXANS,7.0,38.5,260,-325,draftkings
JACKSONVILLE JAGUARS,LOS ANGELES CHARGERS,1.5,45.5,105,-125,draftkings
ARIZONA CARDINALS,SAN FRANCISCO 49ERS,1.5,47.5,105,-125,draftkings
LOS ANGELES RAMS,SEATTLE SEAHAWKS,-2.5,47.5,-142,120,draftkings
CLEVELAND BROWNS,BALTIMORE RAVENS,7.5,41.5,310,-395,draftkings
DENVER BRONCOS,KANSAS CITY CHIEFS,3.5,45.5,150,-180,draftkings
PHILADELPHIA EAGLES,DETROIT LIONS,-1.5,49.5,-125,105,draftkings
LAS VEGAS RAIDERS,DALLAS COWBOYS,3.5,50.5,154,-185,draftkings
