schedule_season,schedule_week,team_home,team_away,spread_home,model_spread,home_cover_prob
2025,10,DENVER BRONCOS,LAS VEGAS RAIDERS,,9.476413317955688,0.7963710090129082
2025,10,INDIANAPOLIS COLTS,ATLANTA FALCONS,-6.5,7.551205296842524,0.531033098543151
2025,10,CAROLINA PANTHERS,NEW ORLEANS SAINTS,-5.5,6.844343259942121,0.5396615036210537
2025,10,CHICAGO BEARS,NEW YORK GIANTS,-4.5,4.9769538784075635,0.5140916660177554
2025,10,HOUSTON TEXANS,JACKSONVILLE JAGUARS,1.5,3.7161141363817802,0.6503919349427005
2025,10,MIAMI DOLPHINS,BUFFALO BILLS,9.5,-3.9730093709233576,0.6588793930771619
2025,10,MINNESOTA VIKINGS,BALTIMORE RAVENS,3.5,2.7418539144995235,0.6780882488720792
2025,10,NEW YORK JETS,CLEVELAND BROWNS,1.5,0.36512109789897534,0.5549418776935251
2025,10,TAMPA BAY BUCCANEERS,NEW ENGLAND PATRIOTS,-2.5,3.0023980985539067,0.5148430807082474
2025,10,SEATTLE SEAHAWKS,ARIZONA CARDINALS,-6.5,7.748727846163762,0.5368489525094746
2025,10,SAN FRANCISCO 49ERS,LOS ANGELES RAMS,4.5,-1.3221471127767013,0.5930495027645719
2025,10,WASHINGTON COMMANDERS,DETROIT LIONS,8.5,-2.876535162023292,0.6614972854413157
2025,10,LOS ANGELES CHARGERS,PITTSBURGH STEELERS,-3.0,3.3046381707797496,0.5090016839207167
2025,10,GREEN BAY PACKERS,PHILADELPHIA EAGLES,-1.5,0.9642125072169234,0.48417094935364735
